Accession	Dataset	Tissue	CellLine	PrimaryCell	Lab	Link	DataType	Controls
ENCFF000BIH	/experiments/ENCSR000ALX/	.	.	mammary epithelial cell	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000BIH/@@download/ENCFF000BIH.bigWig	signal	/files/ENCFF000BGU/, /files/ENCFF000BGV/, /files/ENCFF000BGY/, /files/ENCFF000BHE/, /files/ENCFF000BHF/, /files/ENCFF997HCS/, /files/ENCFF556RIX/, /files/ENCFF152UJF/, /files/ENCFF702WJD/, /files/ENCFF749GHL/, /files/ENCFF913IHA/, /files/ENCFF788YKS/, /files/ENCFF813ZYQ/, /files/ENCFF607BMM/, /files/ENCFF417CEL/, /files/ENCFF903ATW/, /files/ENCFF801RTD/, /files/ENCFF062WDT/, /files/ENCFF115JNM/, /files/ENCFF861GBM/
ENCFF001FMK	/experiments/ENCSR000DUJ/	.	.	foreskin fibroblast	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001FMK/@@download/ENCFF001FMK.bigWig	raw signal	/files/ENCFF001HOB/, /files/ENCFF001HOC/, /files/ENCFF001HON/, /files/ENCFF437IOA/, /files/ENCFF342YSK/, /files/ENCFF904OLV/, /files/ENCFF357OBP/
ENCFF000BNZ	/experiments/ENCSR000ANU/	.	.	.	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000BNZ/@@download/ENCFF000BNZ.bigWig	signal	/files/ENCFF000BNE/, /files/ENCFF000BNF/, /files/ENCFF000BNH/, /files/ENCFF000BNO/, /files/ENCFF000BNR/, /files/ENCFF384SVU/, /files/ENCFF742NGM/, /files/ENCFF408COK/, /files/ENCFF882RJG/, /files/ENCFF115XVH/, /files/ENCFF712QEE/, /files/ENCFF900ZEG/, /files/ENCFF695JTM/, /files/ENCFF559IIB/, /files/ENCFF180ALL/, /files/ENCFF341IUA/, /files/ENCFF873IRA/, /files/ENCFF512CVC/
ENCFF000BQB	/experiments/ENCSR000AOY/	.	.	.	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000BQB/@@download/ENCFF000BQB.bigWig	signal	/files/ENCFF000BNE/, /files/ENCFF000BNF/, /files/ENCFF000BNH/, /files/ENCFF000BNO/, /files/ENCFF000BNR/, /files/ENCFF384SVU/, /files/ENCFF742NGM/, /files/ENCFF408COK/, /files/ENCFF882RJG/, /files/ENCFF115XVH/, /files/ENCFF712QEE/, /files/ENCFF900ZEG/, /files/ENCFF695JTM/, /files/ENCFF559IIB/, /files/ENCFF180ALL/, /files/ENCFF341IUA/, /files/ENCFF873IRA/, /files/ENCFF512CVC/
ENCFF000BDI	/experiments/ENCSR000AOI/	.	HeLa-S3	.	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000BDI/@@download/ENCFF000BDI.bigWig	signal	/files/ENCFF000BAF/, /files/ENCFF000BAH/, /files/ENCFF000BAI/, /files/ENCFF000BAO/, /files/ENCFF000BAU/, /files/ENCFF954DWW/, /files/ENCFF713YQB/, /files/ENCFF818YAG/, /files/ENCFF432JPE/, /files/ENCFF250XLH/, /files/ENCFF930VIN/, /files/ENCFF451SVK/, /files/ENCFF385UZW/, /files/ENCFF820FDY/
ENCFF000CLD	/experiments/ENCSR000ARW/	.	.	fibroblast of dermis	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000CLD/@@download/ENCFF000CLD.bigWig	signal	/files/ENCFF000CIN/, /files/ENCFF000CIO/, /files/ENCFF000CIP/, /files/ENCFF000CIU/, /files/ENCFF000CIW/, /files/ENCFF090CYH/, /files/ENCFF138XPE/, /files/ENCFF898XQK/, /files/ENCFF860HKY/, /files/ENCFF955HWE/, /files/ENCFF412GJA/, /files/ENCFF859VNG/, /files/ENCFF204ZPV/, /files/ENCFF092GQD/, /files/ENCFF753JIU/, /files/ENCFF615VVU/, /files/ENCFF487DBD/, /files/ENCFF782IQQ/, /files/ENCFF739WQP/, /files/ENCFF005RXL/, /files/ENCFF429XTA/, /files/ENCFF638YZB/
ENCFF001EZT	/experiments/ENCSR000DSD/	.	.	.	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001EZT/@@download/ENCFF001EZT.bigWig	raw signal	/files/ENCFF001HIG/, /files/ENCFF001HIH/, /files/ENCFF001HIR/, /files/ENCFF663QBU/, /files/ENCFF331JTO/, /files/ENCFF962KKN/, /files/ENCFF164EAM/
ENCFF001EZU	/experiments/ENCSR000DSD/	.	.	.	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001EZU/@@download/ENCFF001EZU.bigWig	raw signal	/files/ENCFF001HIG/, /files/ENCFF001HIH/, /files/ENCFF001HIR/, /files/ENCFF663QBU/, /files/ENCFF331JTO/, /files/ENCFF962KKN/, /files/ENCFF164EAM/
ENCFF000BLM	/experiments/ENCSR000ANH/	.	.	skeletal muscle myoblast	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000BLM/@@download/ENCFF000BLM.bigWig	signal	/files/ENCFF000BJZ/, /files/ENCFF000BKA/, /files/ENCFF000BKD/, /files/ENCFF000BKI/, /files/ENCFF000BKK/, /files/ENCFF009XHG/, /files/ENCFF298NLV/, /files/ENCFF791XAM/, /files/ENCFF698ZZD/, /files/ENCFF208RCO/, /files/ENCFF325AJA/, /files/ENCFF130ENW/, /files/ENCFF003XTF/, /files/ENCFF589EFJ/
ENCFF001FTB	/experiments/ENCSR000DVS/	.	.	fibroblast of villous mesenchyme	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001FTB/@@download/ENCFF001FTB.bigWig	raw signal	/files/ENCFF001HSY/, /files/ENCFF001HSZ/, /files/ENCFF001HTK/, /files/ENCFF280SOV/, /files/ENCFF629FKE/, /files/ENCFF947POT/, /files/ENCFF807YUN/
ENCFF001FTD	/experiments/ENCSR000DVS/	.	.	fibroblast of villous mesenchyme	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001FTD/@@download/ENCFF001FTD.bigWig	raw signal	/files/ENCFF001HSY/, /files/ENCFF001HSZ/, /files/ENCFF001HTK/, /files/ENCFF280SOV/, /files/ENCFF629FKE/, /files/ENCFF947POT/, /files/ENCFF807YUN/
ENCFF001FQL	/experiments/ENCSR000DVE/	.	.	kidney epithelial cell	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001FQL/@@download/ENCFF001FQL.bigWig	raw signal	/files/ENCFF001HRJ/, /files/ENCFF001HRK/, /files/ENCFF001HRU/, /files/ENCFF047NAO/, /files/ENCFF115YWW/, /files/ENCFF735TUW/, /files/ENCFF213ZXO/
ENCFF001FQM	/experiments/ENCSR000DVE/	.	.	kidney epithelial cell	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001FQM/@@download/ENCFF001FQM.bigWig	raw signal	/files/ENCFF001HRJ/, /files/ENCFF001HRK/, /files/ENCFF001HRU/, /files/ENCFF047NAO/, /files/ENCFF115YWW/, /files/ENCFF735TUW/, /files/ENCFF213ZXO/
ENCFF001FWL	/experiments/ENCSR000DWB/	.	K562	.	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001FWL/@@download/ENCFF001FWL.bigWig	raw signal	/files/ENCFF001HTM/, /files/ENCFF001HTN/, /files/ENCFF001HTT/, /files/ENCFF873PSH/, /files/ENCFF518TNE/, /files/ENCFF789FCV/, /files/ENCFF465CVS/
ENCFF001FWN	/experiments/ENCSR000DWB/	.	K562	.	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001FWN/@@download/ENCFF001FWN.bigWig	raw signal	/files/ENCFF001HTM/, /files/ENCFF001HTN/, /files/ENCFF001HTT/, /files/ENCFF873PSH/, /files/ENCFF518TNE/, /files/ENCFF789FCV/, /files/ENCFF465CVS/
ENCFF000AJM	/experiments/ENCSR000ASH/	.	A549	.	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000AJM/@@download/ENCFF000AJM.bigWig	signal	/files/ENCFF000AHC/, /files/ENCFF000AHD/, /files/ENCFF000AHF/, /files/ENCFF000AHM/, /files/ENCFF000AHV/, /files/ENCFF948UNV/, /files/ENCFF482SGU/, /files/ENCFF043PUQ/, /files/ENCFF114ODP/, /files/ENCFF408NTN/, /files/ENCFF987CPC/, /files/ENCFF957AOI/, /files/ENCFF502CGT/, /files/ENCFF271TLF/, /files/ENCFF122PEM/, /files/ENCFF719NBM/, /files/ENCFF550UKJ/, /files/ENCFF824LNT/
ENCFF000ATA	/experiments/ENCSR000AKE/	.	GM12878	.	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000ATA/@@download/ENCFF000ATA.bigWig	signal	/files/ENCFF000AQZ/, /files/ENCFF000ARA/, /files/ENCFF000ARD/, /files/ENCFF000ARK/, /files/ENCFF000ARO/, /files/ENCFF231IAK/, /files/ENCFF651UIO/, /files/ENCFF858ORL/, /files/ENCFF684NLR/, /files/ENCFF303HPA/, /files/ENCFF797ARJ/, /files/ENCFF434HLD/, /files/ENCFF611CHF/, /files/ENCFF852TVX/, /files/ENCFF873ZWP/, /files/ENCFF953EVD/, /files/ENCFF547XEQ/, /files/ENCFF055OBO/, /files/ENCFF691DXH/, /files/ENCFF151JBU/, /files/ENCFF213TCX/, /files/ENCFF339YTX/, /files/ENCFF663HUX/, /files/ENCFF430BAQ/, /files/ENCFF624TPS/, /files/ENCFF232FPZ/
ENCFF000BXQ	/experiments/ENCSR000AKS/	.	K562	.	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000BXQ/@@download/ENCFF000BXQ.bigWig	signal	/files/ENCFF000BVZ/, /files/ENCFF000BWA/, /files/ENCFF000BWK/, /files/ENCFF117OYK/, /files/ENCFF392XRJ/, /files/ENCFF977WHL/, /files/ENCFF885VML/, /files/ENCFF994FIB/, /files/ENCFF402EPP/, /files/ENCFF222TAO/, /files/ENCFF156ECZ/, /files/ENCFF199NQH/, /files/ENCFF561WFK/, /files/ENCFF185XBW/, /files/ENCFF283HQV/, /files/ENCFF574XYY/, /files/ENCFF505AGU/, /files/ENCFF237KKO/, /files/ENCFF296OHW/, /files/ENCFF829HZY/, /files/ENCFF245PJA/, /files/ENCFF192XTF/, /files/ENCFF893MMO/, /files/ENCFF019ENS/, /files/ENCFF150ZCH/, /files/ENCFF319GFP/
ENCFF001FQU	/experiments/ENCSR000DVG/	.	.	kidney epithelial cell	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001FQU/@@download/ENCFF001FQU.bigWig	raw signal	/files/ENCFF001HRJ/, /files/ENCFF001HRK/, /files/ENCFF001HRU/, /files/ENCFF047NAO/, /files/ENCFF115YWW/, /files/ENCFF735TUW/, /files/ENCFF213ZXO/
ENCFF001FQX	/experiments/ENCSR000DVG/	.	.	kidney epithelial cell	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001FQX/@@download/ENCFF001FQX.bigWig	raw signal	/files/ENCFF001HRJ/, /files/ENCFF001HRK/, /files/ENCFF001HRU/, /files/ENCFF047NAO/, /files/ENCFF115YWW/, /files/ENCFF735TUW/, /files/ENCFF213ZXO/
ENCFF000CMW	/experiments/ENCSR000ARN/	.	.	keratinocyte	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000CMW/@@download/ENCFF000CMW.bigWig	signal	/files/ENCFF000CLV/, /files/ENCFF000CLW/, /files/ENCFF000CLX/, /files/ENCFF000CMD/, /files/ENCFF000CMJ/, /files/ENCFF604QBU/, /files/ENCFF292GHV/, /files/ENCFF221LXY/, /files/ENCFF377CTF/, /files/ENCFF516NPM/, /files/ENCFF050XUG/, /files/ENCFF288LLD/, /files/ENCFF587LRA/, /files/ENCFF715NGU/
ENCFF001EVL	/experiments/ENCSR000DQZ/	.	GM12864	.	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001EVL/@@download/ENCFF001EVL.bigWig	raw signal	/files/ENCFF001HBZ/, /files/ENCFF001HCA/, /files/ENCFF001HCM/, /files/ENCFF749RTG/, /files/ENCFF219TDW/, /files/ENCFF675VCI/, /files/ENCFF437XQZ/
ENCFF001EVN	/experiments/ENCSR000DQZ/	.	GM12864	.	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001EVN/@@download/ENCFF001EVN.bigWig	raw signal	/files/ENCFF001HBZ/, /files/ENCFF001HCA/, /files/ENCFF001HCM/, /files/ENCFF749RTG/, /files/ENCFF219TDW/, /files/ENCFF675VCI/, /files/ENCFF437XQZ/
ENCFF001FCU	/experiments/ENCSR000DSH/	.	.	.	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001FCU/@@download/ENCFF001FCU.bigWig	raw signal	/files/ENCFF001HIB/, /files/ENCFF001HIC/, /files/ENCFF001HII/, /files/ENCFF663QPN/, /files/ENCFF136OPR/, /files/ENCFF763THW/, /files/ENCFF807CDF/
ENCFF001FCV	/experiments/ENCSR000DSH/	.	.	.	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001FCV/@@download/ENCFF001FCV.bigWig	raw signal	/files/ENCFF001HIB/, /files/ENCFF001HIC/, /files/ENCFF001HII/, /files/ENCFF663QPN/, /files/ENCFF136OPR/, /files/ENCFF763THW/, /files/ENCFF807CDF/
ENCFF000ALW	/experiments/ENCSR000ATP/	.	A549	.	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000ALW/@@download/ENCFF000ALW.bigWig	signal	/files/ENCFF000AHC/, /files/ENCFF000AHD/, /files/ENCFF000AHF/, /files/ENCFF000AHM/, /files/ENCFF000AHV/, /files/ENCFF948UNV/, /files/ENCFF482SGU/, /files/ENCFF043PUQ/, /files/ENCFF114ODP/, /files/ENCFF408NTN/, /files/ENCFF987CPC/, /files/ENCFF957AOI/, /files/ENCFF502CGT/, /files/ENCFF271TLF/, /files/ENCFF122PEM/, /files/ENCFF719NBM/, /files/ENCFF550UKJ/, /files/ENCFF824LNT/
ENCFF001FHA	/experiments/ENCSR000DTH/	.	.	cardiac fibroblast	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001FHA/@@download/ENCFF001FHA.bigWig	raw signal	/files/ENCFF001HKH/, /files/ENCFF001HKI/, /files/ENCFF001HKT/, /files/ENCFF576BTF/, /files/ENCFF880XKJ/, /files/ENCFF536HQZ/, /files/ENCFF661ZEZ/
ENCFF000CGI	/experiments/ENCSR000ARS/	.	.	astrocyte	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000CGI/@@download/ENCFF000CGI.bigWig	signal	/files/ENCFF000CFI/, /files/ENCFF000CFK/, /files/ENCFF000CFO/, /files/ENCFF000CFR/, /files/ENCFF000CFY/, /files/ENCFF855ZXU/, /files/ENCFF615VUA/, /files/ENCFF765DJW/, /files/ENCFF631QCD/, /files/ENCFF563PNW/, /files/ENCFF581QLB/, /files/ENCFF191SLR/, /files/ENCFF391KPN/, /files/ENCFF639TYV/, /files/ENCFF368JCF/, /files/ENCFF216TIF/, /files/ENCFF169WZW/, /files/ENCFF350LQZ/
ENCFF000BHJ	/experiments/ENCSR000ARE/	.	.	mammary epithelial cell	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000BHJ/@@download/ENCFF000BHJ.bigWig	signal	/files/ENCFF000BGU/, /files/ENCFF000BGV/, /files/ENCFF000BGY/, /files/ENCFF000BHE/, /files/ENCFF000BHF/, /files/ENCFF997HCS/, /files/ENCFF556RIX/, /files/ENCFF152UJF/, /files/ENCFF702WJD/, /files/ENCFF749GHL/, /files/ENCFF913IHA/, /files/ENCFF788YKS/, /files/ENCFF813ZYQ/, /files/ENCFF607BMM/, /files/ENCFF417CEL/, /files/ENCFF903ATW/, /files/ENCFF801RTD/, /files/ENCFF062WDT/, /files/ENCFF115JNM/, /files/ENCFF861GBM/
ENCFF000VHT	/experiments/ENCSR000EXA/	.	NT2/D1	.	Peggy Farnham, USC	https://www.encodeproject.org/files/ENCFF000VHT/@@download/ENCFF000VHT.bigWig	signal	/files/ENCFF000VII/, /files/ENCFF000VIJ/, /files/ENCFF000VJV/, /files/ENCFF000ZMW/, /files/ENCFF000ZMZ/, /files/ENCFF000ZNE/, /files/ENCFF585ORN/, /files/ENCFF513RSP/, /files/ENCFF205KMO/, /files/ENCFF293DEQ/
ENCFF000BHP	/experiments/ENCSR000ARF/	.	.	mammary epithelial cell	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000BHP/@@download/ENCFF000BHP.bigWig	signal	/files/ENCFF000BGU/, /files/ENCFF000BGV/, /files/ENCFF000BGY/, /files/ENCFF000BHE/, /files/ENCFF000BHF/, /files/ENCFF997HCS/, /files/ENCFF556RIX/, /files/ENCFF152UJF/, /files/ENCFF702WJD/, /files/ENCFF749GHL/, /files/ENCFF913IHA/, /files/ENCFF788YKS/, /files/ENCFF813ZYQ/, /files/ENCFF607BMM/, /files/ENCFF417CEL/, /files/ENCFF903ATW/, /files/ENCFF801RTD/, /files/ENCFF062WDT/, /files/ENCFF115JNM/, /files/ENCFF861GBM/
ENCFF001GFB	/experiments/ENCSR000DXO/	.	SK-N-SH	.	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001GFB/@@download/ENCFF001GFB.bigWig	raw signal	/files/ENCFF001HXR/, /files/ENCFF001HXS/, /files/ENCFF001HYC/, /files/ENCFF476JOC/, /files/ENCFF968MUT/, /files/ENCFF005RVN/, /files/ENCFF328BRW/
ENCFF001GFC	/experiments/ENCSR000DXO/	.	SK-N-SH	.	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001GFC/@@download/ENCFF001GFC.bigWig	raw signal	/files/ENCFF001HXR/, /files/ENCFF001HXS/, /files/ENCFF001HYC/, /files/ENCFF476JOC/, /files/ENCFF968MUT/, /files/ENCFF005RVN/, /files/ENCFF328BRW/
ENCFF000CTJ	/experiments/ENCSR000AMY/	.	.	fibroblast of lung	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000CTJ/@@download/ENCFF000CTJ.bigWig	signal	/files/ENCFF000CQE/, /files/ENCFF000CQF/, /files/ENCFF000CQH/, /files/ENCFF000CQO/, /files/ENCFF000CQP/, /files/ENCFF554LJZ/, /files/ENCFF681UKF/, /files/ENCFF386PAD/, /files/ENCFF007RSP/, /files/ENCFF923PUU/, /files/ENCFF208SHP/, /files/ENCFF552KRT/, /files/ENCFF250VFW/, /files/ENCFF579ZCP/
ENCFF000AVH	/experiments/ENCSR000AMI/	.	H1	.	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000AVH/@@download/ENCFF000AVH.bigWig	signal	
ENCFF000AYY	/experiments/ENCSR000AVC/	.	H1	.	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000AYY/@@download/ENCFF000AYY.bigWig	signal	/files/ENCFF000AVF/, /files/ENCFF000AVG/, /files/ENCFF000AVH/, /files/ENCFF000AVM/, /files/ENCFF000AVR/, /files/ENCFF303YPV/, /files/ENCFF400SCD/, /files/ENCFF178MIM/, /files/ENCFF740ECI/, /files/ENCFF145GCJ/, /files/ENCFF659UFR/, /files/ENCFF164ZWM/, /files/ENCFF809ZPN/, /files/ENCFF508ZFI/, /files/ENCFF763DAQ/, /files/ENCFF805KPU/, /files/ENCFF036EGF/, /files/ENCFF191QXK/, /files/ENCFF663FLW/, /files/ENCFF689EIT/, /files/ENCFF698YIB/, /files/ENCFF837MEC/, /files/ENCFF635VQA/, /files/ENCFF064XIS/, /files/ENCFF472QMD/, /files/ENCFF138KKQ/, /files/ENCFF368CYL/, /files/ENCFF393KUX/, /files/ENCFF401LXB/, /files/ENCFF064DDT/, /files/ENCFF452JET/, /files/ENCFF234FUH/, /files/ENCFF292NRA/, /files/ENCFF241XBE/, /files/ENCFF711MVG/, /files/ENCFF370QWD/, /files/ENCFF037PMO/, /files/ENCFF850EIY/, /files/ENCFF727XHW/, /files/ENCFF790CGF/, /files/ENCFF447DQQ/, /files/ENCFF243MTV/, /files/ENCFF344OKG/, /files/ENCFF504ZFN/, /files/ENCFF473WBH/, /files/ENCFF994DDP/
ENCFF000AVT	/experiments/ENCSR000ASY/	.	H1	.	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000AVT/@@download/ENCFF000AVT.bigWig	signal	/files/ENCFF000AVF/, /files/ENCFF000AVG/, /files/ENCFF000AVH/, /files/ENCFF000AVM/, /files/ENCFF000AVR/, /files/ENCFF303YPV/, /files/ENCFF400SCD/, /files/ENCFF178MIM/, /files/ENCFF740ECI/, /files/ENCFF145GCJ/, /files/ENCFF659UFR/, /files/ENCFF164ZWM/, /files/ENCFF809ZPN/, /files/ENCFF508ZFI/, /files/ENCFF763DAQ/, /files/ENCFF805KPU/, /files/ENCFF036EGF/, /files/ENCFF191QXK/, /files/ENCFF663FLW/, /files/ENCFF689EIT/, /files/ENCFF698YIB/, /files/ENCFF837MEC/, /files/ENCFF635VQA/, /files/ENCFF064XIS/, /files/ENCFF472QMD/, /files/ENCFF138KKQ/, /files/ENCFF368CYL/, /files/ENCFF393KUX/, /files/ENCFF401LXB/, /files/ENCFF064DDT/, /files/ENCFF452JET/, /files/ENCFF234FUH/, /files/ENCFF292NRA/, /files/ENCFF241XBE/, /files/ENCFF711MVG/, /files/ENCFF370QWD/, /files/ENCFF037PMO/, /files/ENCFF850EIY/, /files/ENCFF727XHW/, /files/ENCFF790CGF/, /files/ENCFF447DQQ/, /files/ENCFF243MTV/, /files/ENCFF344OKG/, /files/ENCFF504ZFN/, /files/ENCFF473WBH/, /files/ENCFF994DDP/
ENCFF000AZC	/experiments/ENCSR000AUQ/	.	H1	.	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000AZC/@@download/ENCFF000AZC.bigWig	signal	/files/ENCFF000AVF/, /files/ENCFF000AVG/, /files/ENCFF000AVH/, /files/ENCFF000AVM/, /files/ENCFF000AVR/, /files/ENCFF303YPV/, /files/ENCFF400SCD/, /files/ENCFF178MIM/, /files/ENCFF740ECI/, /files/ENCFF145GCJ/, /files/ENCFF659UFR/, /files/ENCFF164ZWM/, /files/ENCFF809ZPN/, /files/ENCFF508ZFI/, /files/ENCFF763DAQ/, /files/ENCFF805KPU/, /files/ENCFF036EGF/, /files/ENCFF191QXK/, /files/ENCFF663FLW/, /files/ENCFF689EIT/, /files/ENCFF698YIB/, /files/ENCFF837MEC/, /files/ENCFF635VQA/, /files/ENCFF064XIS/, /files/ENCFF472QMD/, /files/ENCFF138KKQ/, /files/ENCFF368CYL/, /files/ENCFF393KUX/, /files/ENCFF401LXB/, /files/ENCFF064DDT/, /files/ENCFF452JET/, /files/ENCFF234FUH/, /files/ENCFF292NRA/, /files/ENCFF241XBE/, /files/ENCFF711MVG/, /files/ENCFF370QWD/, /files/ENCFF037PMO/, /files/ENCFF850EIY/, /files/ENCFF727XHW/, /files/ENCFF790CGF/, /files/ENCFF447DQQ/, /files/ENCFF243MTV/, /files/ENCFF344OKG/, /files/ENCFF504ZFN/, /files/ENCFF473WBH/, /files/ENCFF994DDP/
ENCFF000AYO	/experiments/ENCSR000ATQ/	.	H1	.	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000AYO/@@download/ENCFF000AYO.bigWig	signal	/files/ENCFF000AVF/, /files/ENCFF000AVG/, /files/ENCFF000AVH/, /files/ENCFF000AVM/, /files/ENCFF000AVR/, /files/ENCFF303YPV/, /files/ENCFF400SCD/, /files/ENCFF178MIM/, /files/ENCFF740ECI/, /files/ENCFF145GCJ/, /files/ENCFF659UFR/, /files/ENCFF164ZWM/, /files/ENCFF809ZPN/, /files/ENCFF508ZFI/, /files/ENCFF763DAQ/, /files/ENCFF805KPU/, /files/ENCFF036EGF/, /files/ENCFF191QXK/, /files/ENCFF663FLW/, /files/ENCFF689EIT/, /files/ENCFF698YIB/, /files/ENCFF837MEC/, /files/ENCFF635VQA/, /files/ENCFF064XIS/, /files/ENCFF472QMD/, /files/ENCFF138KKQ/, /files/ENCFF368CYL/, /files/ENCFF393KUX/, /files/ENCFF401LXB/, /files/ENCFF064DDT/, /files/ENCFF452JET/, /files/ENCFF234FUH/, /files/ENCFF292NRA/, /files/ENCFF241XBE/, /files/ENCFF711MVG/, /files/ENCFF370QWD/, /files/ENCFF037PMO/, /files/ENCFF850EIY/, /files/ENCFF727XHW/, /files/ENCFF790CGF/, /files/ENCFF447DQQ/, /files/ENCFF243MTV/, /files/ENCFF344OKG/, /files/ENCFF504ZFN/, /files/ENCFF473WBH/, /files/ENCFF994DDP/
ENCFF000AZZ	/experiments/ENCSR000AUS/	.	H1	.	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000AZZ/@@download/ENCFF000AZZ.bigWig	signal	/files/ENCFF000AVF/, /files/ENCFF000AVG/, /files/ENCFF000AVH/, /files/ENCFF000AVM/, /files/ENCFF000AVR/, /files/ENCFF303YPV/, /files/ENCFF400SCD/, /files/ENCFF178MIM/, /files/ENCFF740ECI/, /files/ENCFF145GCJ/, /files/ENCFF659UFR/, /files/ENCFF164ZWM/, /files/ENCFF809ZPN/, /files/ENCFF508ZFI/, /files/ENCFF763DAQ/, /files/ENCFF805KPU/, /files/ENCFF036EGF/, /files/ENCFF191QXK/, /files/ENCFF663FLW/, /files/ENCFF689EIT/, /files/ENCFF698YIB/, /files/ENCFF837MEC/, /files/ENCFF635VQA/, /files/ENCFF064XIS/, /files/ENCFF472QMD/, /files/ENCFF138KKQ/, /files/ENCFF368CYL/, /files/ENCFF393KUX/, /files/ENCFF401LXB/, /files/ENCFF064DDT/, /files/ENCFF452JET/, /files/ENCFF234FUH/, /files/ENCFF292NRA/, /files/ENCFF241XBE/, /files/ENCFF711MVG/, /files/ENCFF370QWD/, /files/ENCFF037PMO/, /files/ENCFF850EIY/, /files/ENCFF727XHW/, /files/ENCFF790CGF/, /files/ENCFF447DQQ/, /files/ENCFF243MTV/, /files/ENCFF344OKG/, /files/ENCFF504ZFN/, /files/ENCFF473WBH/, /files/ENCFF994DDP/
ENCFF000AWE	/experiments/ENCSR000APZ/	.	H1	.	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000AWE/@@download/ENCFF000AWE.bigWig	signal	/files/ENCFF000AVF/, /files/ENCFF000AVG/, /files/ENCFF000AVH/, /files/ENCFF000AVM/, /files/ENCFF000AVR/, /files/ENCFF303YPV/, /files/ENCFF400SCD/, /files/ENCFF178MIM/, /files/ENCFF740ECI/, /files/ENCFF145GCJ/, /files/ENCFF659UFR/, /files/ENCFF164ZWM/, /files/ENCFF809ZPN/, /files/ENCFF508ZFI/, /files/ENCFF763DAQ/, /files/ENCFF805KPU/, /files/ENCFF036EGF/, /files/ENCFF191QXK/, /files/ENCFF663FLW/, /files/ENCFF689EIT/, /files/ENCFF698YIB/, /files/ENCFF837MEC/, /files/ENCFF635VQA/, /files/ENCFF064XIS/, /files/ENCFF472QMD/, /files/ENCFF138KKQ/, /files/ENCFF368CYL/, /files/ENCFF393KUX/, /files/ENCFF401LXB/, /files/ENCFF064DDT/, /files/ENCFF452JET/, /files/ENCFF234FUH/, /files/ENCFF292NRA/, /files/ENCFF241XBE/, /files/ENCFF711MVG/, /files/ENCFF370QWD/, /files/ENCFF037PMO/, /files/ENCFF850EIY/, /files/ENCFF727XHW/, /files/ENCFF790CGF/, /files/ENCFF447DQQ/, /files/ENCFF243MTV/, /files/ENCFF344OKG/, /files/ENCFF504ZFN/, /files/ENCFF473WBH/, /files/ENCFF994DDP/
